"Key","Context","EN"
"Climate.TimeStepLimit","","Timestep Limit"
"Climate.TimeStepLimitEnabled","","Disable when slow"
"Climate.CarbonDioxidePPMV","","Carbon Dioxide"
"Climate.CarbonDioxidePPMV_TOOLTIP","","Simulate Effect of Greenhouse Gases"
"Climate.CarbonDioxideGigaton","","Carbon Dioxide"
"Climate.CarbonDioxideGigaton_TOOLTIP","","Simulate Effect of GHGs"
"Climate.UseClimateScenario","","Select an RCP Scenario"
"Climate.IncrementCO2","","Increment CO2 at Constant Rates"
"Climate.EmissionRateCO2","","Emission Rate in Gigatons per year"
"Climate.DepositionRateCO2","","Deposition Rate in Gigatons per year"
"Climate.InfraredB","","Outgoing Longwave Energy Fit Parameter"
"Climate.DiffusionConstMagnitude","","Equator-to-Pole Diffusion"
"Climate.HadleyFlag","","Simulate Hadley Cell"
"Climate.LandHeatCapacity","","Heat Capacity of Air"
"Climate.WaterHeatCapacity","","Heat Capacity of Air + Ocean Mixed Layer"
"Climate.CouplingCoefficient","","Land-Ocean Heat Coupling Factor"
"Climate.AlbedoFlag","","Albedo Feedback"
"Climate.ResetFlag","","Reset Climate Simulation to Defaults?"
"CompositePhases.AverageTemperature","","Average Surface Temp (automata)"
"CompositePhases.LiquidVolume","","Liquid Volume"
"CompositePhases.FrozenVolume","","Volume of Ice"
"CompositePhases.VaporVolume","","Vapor Volume"
"IAutomataData.WaterLevel","","Water Level"
"PlanetaryTemperature.AverageTemperature","","Average Surface Temp (automata)"
"PlanetaryTemperature.Greenhouse","","Greenhouse effect"
"PlanetaryTemperature.OpticalDepth","","Optical depth"
"PlanetaryTemperature.RadiativeHeat","","Radiative Heating"
"PlanetaryTemperature.CoolingFactor","","Cooling rate scalar"
"PlanetaryTemperature.HeatTransport","","Heat Transport Rate"
"PlanetaryTemperature.HeatCapacity","","Heat Capacity"
"PlanetaryTemperature.Beta","","Beta"
"PlanetaryTemperature.Albedo","","Automata Albedo"
"ShaderOutput.FilterOutput","","Filter Output"
"Body.Attractor","","Strongest Attractor"
"Body.Attractor_TOOLTIP","","The body that is exerting the most gravitational force on this body"
"Body.OrbitParent","","Orbit Parent"
"Body.OrbitParent_TOOLTIP","","The body that this body orbits"
"Body.Age","","Age"
"Body.Age_TOOLTIP","Some context
Some more context
Some more context","How long the body has existed in the simulation (accounts for age in the universe if known object)"
"Body.SurfaceGravity","","Surface Gravity"
"Body.SurfaceGravity_TOOLTIP","","The gravitational acceleration experienced at the surface"
"Body.RotationSpeedAtEquator","","Rotation Speed"
"Body.RotationSpeedAtEquator_TOOLTIP","","Rotation speed at equator"
"Body.RadialVelocity","","Radial Velocity"
"Body.RadialVelocity_TOOLTIP","","Speed of selected body toward or away from the camera"
"Body.NormalizedLightCurve","","Normalized Light Curve"
"Body.NormalizedLightCurve_TOOLTIP","","Fraction of star light reaching the camera"
"Body.CameraInclination","","Camera Inclination"
"Body.CameraInclination_TOOLTIP","","Angle between plane and camera position"
"Body.CameraAzimuth","","Camera Azimuth"
"Body.CameraAzimuth_TOOLTIP","","Camera rotation angle"
"Body.GravityGroup","","ID of the gravitational group to which this body belongs"
"Body.AngularVelocity","","Angular Velocity"
"Body.RotationAxis","","Rotation Axis"
"Body.RotationPeriod","","Rotational Period"
"Body.RotationPeriod_TOOLTIP","","Amount of time it takes for this body to spin once"
"Body.OrientationReadable","","Orientation"
"Body.Yaw","","Yaw"
"Body.Density","","Density"
"Body.Density_TOOLTIP","","The amount of mass per volume"
"Body.Radius","","Radius"
"Body.Radius_TOOLTIP","","The distance from the center of the body to its equator"
"Body.RocheLobeRadius","","Roche Lobe Radius"
"Body.RocheLobeRadius_TOOLTIP","","The radius of the sphere with same volume as the bodys roche lobe"
"Body.TidalStressDirection","","Tidal Stress Direction"
