"Key","EN","CATEGORY","SUBCATEGORY"
"Close Window","crwdns5705:0crwdne5705:0","GENERAL",""
"Keep Panel Open","crwdns5706:0crwdne5706:0","GENERAL",""
"Switch to grid view","crwdns5707:0crwdne5707:0","GENERAL",""
"Home","crwdns5708:0crwdne5708:0","GENERAL",""
"Editor Only","crwdns5709:0crwdne5709:0","GENERAL",""
"Save Language Keys","crwdns5710:0crwdne5710:0","GENERAL",""
"Generate Thumbnails","crwdns5711:0crwdne5711:0","GENERAL",""
"File","crwdns5712:0crwdne5712:0","GENERAL",""
"New...","crwdns5713:0crwdne5713:0","GENERAL",""
"Open...","crwdns5714:0crwdne5714:0","GENERAL",""
"Create...","crwdns5715:0crwdne5715:0","GENERAL",""
"Save...","crwdns5716:0crwdne5716:0","GENERAL",""
"Show My Simulation Folder","crwdns5717:0crwdne5717:0","GENERAL",""
"Restart Simulation","crwdns5718:0crwdne5718:0","GENERAL",""
"Activities","crwdns5719:0crwdne5719:0","GENERAL",""
"Introduction","crwdns5720:0crwdne5720:0","GENERAL",""
"Climate Intro","crwdns5721:0crwdne5721:0","GENERAL",""
"Exploring the Solar Neighborhood","crwdns5722:0crwdne5722:0","GENERAL",""
"Eccentricity Intro","crwdns5723:0crwdne5723:0","GENERAL",""
"Phases of the Moon","crwdns5724:0crwdne5724:0","GENERAL",""
"Feedback","crwdns5725:0crwdne5725:0","GENERAL",""
"Run Performance Test","crwdns5726:0crwdne5726:0","GENERAL",""
"Send Feedback","crwdns5727:0crwdne5727:0","GENERAL",""
"Show Log File in Folder","crwdns5728:0crwdne5728:0","GENERAL",""
"Open Log File","crwdns5729:0crwdne5729:0","GENERAL",""
"Open Crash Dump Location","crwdns5730:0crwdne5730:0","GENERAL",""
"Experimental","crwdns5731:0crwdne5731:0","GENERAL",""
"Hands Free Demo","crwdns5732:0crwdne5732:0","GENERAL",""
"Toggle VR Mode","crwdns5733:0crwdne5733:0","GENERAL",""
"Tools","crwdns5734:0crwdne5734:0","GENERAL",""
"Graphs","crwdns5735:0crwdne5735:0","GENERAL",""
"Profiler","crwdns5736:0crwdne5736:0","GENERAL",""
"Compare Objects","crwdns5737:0crwdne5737:0","GENERAL",""
"Links","crwdns5738:0crwdne5738:0","GENERAL",""
"What's New","crwdns5739:0crwdne5739:0","GENERAL",""
"Credits","crwdns5740:0crwdne5740:0","GENERAL",""
"Forum","crwdns5741:0crwdne5741:0","GENERAL",""
"Troubleshooting","crwdns5742:0crwdne5742:0","GENERAL",""
"Exit","crwdns5743:0crwdne5743:0","GENERAL",""
"Main","crwdns5744:0crwdne5744:0","GENERAL",""
"Open","crwdns5745:0crwdne5745:0","GENERAL",""
"Create","crwdns5746:0crwdne5746:0","GENERAL",""
"Core","crwdns5747:0crwdne5747:0","GENERAL",""
"Graphics Quality","crwdns5748:0crwdne5748:0","GENERAL",""
"Video","crwdns5749:0crwdne5749:0","GENERAL",""
"Texture Resolution","crwdns5750:0crwdne5750:0","GENERAL",""
"Filtering Quality","crwdns5751:0crwdne5751:0","GENERAL",""
"Effects Quality","crwdns5752:0crwdne5752:0","GENERAL",""
"Antialiasing","crwdns5753:0crwdne5753:0","GENERAL",""
"Vertical Sync","crwdns5754:0crwdne5754:0","GENERAL",""
"Shadows","crwdns5755:0crwdne5755:0","GENERAL",""
"Decals","crwdns5756:0crwdne5756:0","GENERAL",""
"Glows","crwdns5757:0crwdne5757:0","GENERAL",""
"Extra Particles","crwdns5758:0crwdne5758:0","GENERAL",""
"Displacement Mapping","crwdns5759:0crwdne5759:0","GENERAL",""
"Render Mode","crwdns5760:0crwdne5760:0","GENERAL",""
"Volume","crwdns5761:0crwdne5761:0","GENERAL",""
"Master Volume","crwdns5762:0crwdne5762:0","GENERAL",""
"Music Volume","crwdns5763:0crwdne5763:0","GENERAL",""
"Input","crwdns5764:0crwdne5764:0","GENERAL",""
"Invert Scroll Wheel","crwdns5765:0crwdne5765:0","GENERAL",""
"Use Controller","crwdns5766:0crwdne5766:0","GENERAL",""
"Performance","crwdns5767:0crwdne5767:0","GENERAL",""
"Use multi-core","crwdns5768:0crwdne5768:0","GENERAL",""
"Pause on low FPS","crwdns5769:0crwdne5769:0","GENERAL",""
"Low FPS Threshold","crwdns5770:0crwdne5770:0","GENERAL",""
"Max Attracting Bodies","crwdns5771:0crwdne5771:0","GENERAL",""
"Max Non-Attracting Bodies","crwdns5772:0crwdne5772:0","GENERAL",""
"Max Decals","crwdns5773:0crwdne5773:0","GENERAL",""
"Debug","crwdns5774:0crwdne5774:0","GENERAL",""
"Debug Info","crwdns5775:0crwdne5775:0","GENERAL",""
"Attractor Lines","crwdns5776:0crwdne5776:0","GENERAL",""
"Impact Lines","crwdns5777:0crwdne5777:0","GENERAL",""
"linkMassToBodyDefault","crwdns5778:0crwdne5778:0","GENERAL",""
"linkRadiusToBodyDefault","crwdns5779:0crwdne5779:0","GENERAL",""
"linkAtmosphereDefault","crwdns5780:0crwdne5780:0","GENERAL",""
"TargetFrameRate","crwdns5781:0crwdne5781:0","GENERAL",""
"Window Resolution","crwdns5782:0crwdne5782:0","GENERAL",""
"Reset","crwdns5783:0crwdne5783:0","GENERAL",""
"Settings","crwdns5784:0crwdne5784:0","GENERAL",""
"Add","crwdns5785:0crwdne5785:0","GENERAL",""
"Powers","crwdns5786:0crwdne5786:0","GENERAL",""
"Chart","crwdns5787:0crwdne5787:0","GENERAL",""
"Properties","crwdns5788:0crwdne5788:0","GENERAL",""
"Each Frame","crwdns5789:0crwdne5789:0","GENERAL",""
"On Demand","crwdns5790:0crwdne5790:0","GENERAL",""
"Graph","crwdns5791:0crwdne5791:0","GENERAL",""
"Timespan","crwdns5792:0crwdne5792:0","GENERAL",""
"X Value","crwdns5793:0crwdne5793:0","GENERAL",""
"X Unit","crwdns5794:0crwdne5794:0","GENERAL",""
"Y Value","crwdns5795:0crwdne5795:0","GENERAL",""
"Y Unit","crwdns5796:0crwdne5796:0","GENERAL",""
"Advanced","crwdns5797:0crwdne5797:0","GENERAL",""
"MouseSensitivity","crwdns5798:0crwdne5798:0","GENERAL",""
"X Axis","crwdns5799:0crwdne5799:0","GENERAL",""
"Y Axis","crwdns5800:0crwdne5800:0","GENERAL",""
"Legend","crwdns5801:0crwdne5801:0","GENERAL",""
"Labels","crwdns5802:0crwdne5802:0","GENERAL",""
"GridColor","crwdns5803:0crwdne5803:0","GENERAL",""
"LabelsColor","crwdns5804:0crwdne5804:0","GENERAL",""
"HighlightColor","crwdns5805:0crwdne5805:0","GENERAL",""
"Compare","crwdns5806:0crwdne5806:0","GENERAL",""
"Scripting","crwdns5807:0crwdne5807:0","GENERAL",""
"Paths","crwdns5808:0crwdne5808:0","GENERAL",""
"Scripts","crwdns5809:0crwdne5809:0","GENERAL",""
"Ambience","crwdns5810:0crwdne5810:0","GENERAL",""
"Presets","crwdns5811:0crwdne5811:0","GENERAL",""
"Grid","crwdns5812:0crwdne5812:0","GENERAL",""
"Opacity","crwdns5813:0crwdne5813:0","GENERAL",""
"3D Labels","crwdns5814:0crwdne5814:0","GENERAL",""
"Icons","crwdns5815:0crwdne5815:0","GENERAL",""
"Trails","crwdns5816:0crwdne5816:0","GENERAL",""
"Context","crwdns5817:0crwdne5817:0","GENERAL",""
"Width","crwdns5818:0crwdne5818:0","GENERAL",""
"Length","crwdns5819:0crwdne5819:0","GENERAL",""
"Intensity","crwdns5820:0crwdne5820:0","GENERAL",""
"Orbits","crwdns5821:0crwdne5821:0","GENERAL",""
"Orbit Context","crwdns5822:0crwdne5822:0","GENERAL",""
"Orbit Width","crwdns5823:0crwdne5823:0","GENERAL",""
"Orbit Intensity","crwdns5824:0crwdne5824:0","GENERAL",""
"Projected Paths","crwdns5825:0crwdne5825:0","GENERAL",""
"Rays","crwdns5826:0crwdne5826:0","GENERAL",""
"Long/Latitude Lines","crwdns5827:0crwdne5827:0","GENERAL",""
"Velocity Lines","crwdns5828:0crwdne5828:0","GENERAL",""
"Lighting Mode","crwdns5829:0crwdne5829:0","GENERAL",""
"Light Intensity","crwdns5830:0crwdne5830:0","GENERAL",""
"Body Colors","crwdns5831:0crwdne5831:0","GENERAL",""
"Habitable Zones","crwdns5832:0crwdne5832:0","GENERAL",""
"SPH - Hidden in Build","crwdns5833:0crwdne5833:0","GENERAL",""
"SPH Display Mode","crwdns5834:0crwdne5834:0","GENERAL",""
"SPH Sample Mode","crwdns5835:0crwdne5835:0","GENERAL",""
"SPH Render Mode","crwdns5836:0crwdne5836:0","GENERAL",""
"View","crwdns5837:0crwdne5837:0","GENERAL",""
"Simulation","crwdns5838:0crwdne5838:0","GENERAL",""
"Help","crwdns5839:0crwdne5839:0","GENERAL",""
"Edit","crwdns5840:0crwdne5840:0","GENERAL",""
"home","crwdns5841:0crwdne5841:0","GENERAL",""
"select","crwdns5842:0crwdne5842:0","GENERAL",""
"edit","crwdns5843:0crwdne5843:0","GENERAL",""
"add","crwdns5844:0crwdne5844:0","GENERAL",""
"powers","crwdns5845:0crwdne5845:0","GENERAL",""
"script","crwdns5846:0crwdne5846:0","GENERAL",""
"play_pause","crwdns5847:0crwdne5847:0","GENERAL",""
"sim","crwdns5848:0crwdne5848:0","GENERAL",""
"view","crwdns5849:0crwdne5849:0","GENERAL",""
"chart","crwdns5850:0crwdne5850:0","GENERAL",""
"standard","crwdns5851:0crwdne5851:0","GENERAL",""
"find","crwdns5852:0crwdne5852:0","GENERAL",""
"help","crwdns5853:0crwdne5853:0","GENERAL",""
"feedback","crwdns5854:0crwdne5854:0","GENERAL",""
"profiler","crwdns5855:0crwdne5855:0","GENERAL",""
