Keys,Context,EN
Close Window,,Close Window
Keep Panel Open,,Keep Panel Open
Switch to grid view,,Switch to grid view
Home,,Home
Editor Only,,Editor Only
Save Language Keys,,Save Language Keys
Generate Thumbnails,,Generate Thumbnails
File,,File
New...,,New...
Open...,,Open...
Create...,,Create...
Save...,,Save...
Show My Simulation Folder,,Show My Simulation Folder
Restart Simulation,,Restart Simulation
Activities,,Activities
Introduction,,Introduction
Climate Intro,,Climate Intro
Exploring the Solar Neighborhood,,Exploring the Solar Neighborhood
Eccentricity Intro,,Eccentricity Intro
Phases of the Moon,,Phases of the Moon
Feedback,,Feedback
Run Performance Test,,Run Performance Test
Send Feedback,,Send Feedback
Show Log File in Folder,,Show Log File in Folder
Open Log File,,Open Log File
Open Crash Dump Location,,Open Crash Dump Location
Experimental,,Experimental
Hands Free Demo,,Hands Free Demo
Toggle VR Mode,,Toggle VR Mode
Tools,,Tools
Graphs,,Graphs
Profiler,,Profiler
Compare Objects,,Compare Objects
Links,,Links
What's New,,What's New
Credits,,Credits
Forum,,Forum
Troubleshooting,,Troubleshooting
Exit,,Exit
Main,,Main
Open,,Open
Create,,Create
Core,,Core
Graphics Quality,,Graphics Quality
Video,,Video
Texture Resolution,,Texture Resolution
Filtering Quality,,Filtering Quality
Effects Quality,,Effects Quality
Antialiasing,,Antialiasing
Vertical Sync,,Vertical Sync
Shadows,,Shadows
Decals,,Decals
Glows,,Glows
Extra Particles,,Extra Particles
Displacement Mapping,,Displacement Mapping
Render Mode,,Render Mode
Volume,,Volume
Master Volume,,Master Volume
Music Volume,,Music Volume
Input,,Input
Invert Scroll Wheel,,Invert Scroll Wheel
Use Controller,,Use Controller
Performance,,Performance
Use multi-core,,Use multi-core
Pause on low FPS,,Pause on low FPS
Low FPS Threshold,,Low FPS Threshold
Max Attracting Bodies,,Max Attracting Bodies
Max Non-Attracting Bodies,,Max Non-Attracting Bodies
Max Decals,,Max Decals
Debug,,Debug
Debug Info,,Debug Info
Attractor Lines,,Attractor Lines
Impact Lines,,Impact Lines
linkMassToBodyDefault,,linkMassToBodyDefault
linkRadiusToBodyDefault,,linkRadiusToBodyDefault
linkAtmosphereDefault,,linkAtmosphereDefault
TargetFrameRate,,TargetFrameRate
Window Resolution,,Window Resolution
Reset,,Reset
Settings,,Settings
Add,,Add
Powers,,Powers
Chart,,Chart
Properties,,Properties
Each Frame,,Each Frame
On Demand,,On Demand
Graph,,Graph
Timespan,,Timespan
X Value,,X Value
X Unit,,X Unit
Y Value,,Y Value
Y Unit,,Y Unit
Advanced,,Advanced
MouseSensitivity,,MouseSensitivity
X Axis,,X Axis
Y Axis,,Y Axis
Legend,,Legend
Labels,,Labels
GridColor,,GridColor
LabelsColor,,LabelsColor
HighlightColor,,HighlightColor
Compare,,Compare
Scripting,,Scripting
Paths,,Paths
Scripts,,Scripts
Ambience,,Ambience
Presets,,Presets
Grid,,Grid
Opacity,,Opacity
3D Labels,,3D Labels
Icons,,Icons
Trails,,Trails
Context,,Context
Width,,Width
Length,,Length
Intensity,,Intensity
Orbits,,Orbits
Orbit Context,,Orbit Context
Orbit Width,,Orbit Width
Orbit Intensity,,Orbit Intensity
Projected Paths,,Projected Paths
Rays,,Rays
Long/Latitude Lines,,Long/Latitude Lines
Velocity Lines,,Velocity Lines
Lighting Mode,,Lighting Mode
Light Intensity,,Light Intensity
Body Colors,,Body Colors
Habitable Zones,,Habitable Zones
SPH - Hidden in Build,,SPH - Hidden in Build
