"Key","EN","CATEGORY","SUBCATEGORY"
"Close Window","Close Window","GENERAL",""
"Keep Panel Open","Keep Panel Open","GENERAL",""
"Switch to grid view","Switch to grid view","GENERAL",""
"Home","Home","GENERAL",""
"Editor Only","Editor Only","GENERAL",""
"Save Language Keys","Save Language Keys","GENERAL",""
"Generate Thumbnails","Generate Thumbnails","GENERAL",""
"File","File","GENERAL",""
"New...","New...","GENERAL",""
"Open...","Open...","GENERAL",""
"Create...","Create...","GENERAL",""
"Save...","Save...","GENERAL",""
"Show My Simulation Folder","Show My Simulation Folder","GENERAL",""
"Restart Simulation","Restart Simulation","GENERAL",""
"Activities","Activities","GENERAL",""
"Introduction","Introduction","GENERAL",""
"Climate Intro","Climate Intro","GENERAL",""
"Exploring the Solar Neighborhood","Exploring the Solar Neighborhood","GENERAL",""
"Eccentricity Intro","Eccentricity Intro","GENERAL",""
"Phases of the Moon","Phases of the Moon","GENERAL",""
"Feedback","Feedback","GENERAL",""
"Run Performance Test","Run Performance Test","GENERAL",""
"Send Feedback","Send Feedback","GENERAL",""
"Show Log File in Folder","Show Log File in Folder","GENERAL",""
"Open Log File","Open Log File","GENERAL",""
"Open Crash Dump Location","Open Crash Dump Location","GENERAL",""
"Experimental","Experimental","GENERAL",""
"Hands Free Demo","Hands Free Demo","GENERAL",""
"Toggle VR Mode","Toggle VR Mode","GENERAL",""
"Tools","Tools","GENERAL",""
"Graphs","Graphs","GENERAL",""
"Profiler","Profiler","GENERAL",""
"Compare Objects","Compare Objects","GENERAL",""
"Links","Links","GENERAL",""
"What's New","What's New","GENERAL",""
"Credits","Credits","GENERAL",""
"Forum","Forum","GENERAL",""
"Troubleshooting","Troubleshooting","GENERAL",""
"Exit","Exit","GENERAL",""
"Main","Main","GENERAL",""
"Open","Open","GENERAL",""
"Create","Create","GENERAL",""
"Core","Core","GENERAL",""
"Graphics Quality","Graphics Quality","GENERAL",""
"Video","Video","GENERAL",""
"Texture Resolution","Texture Resolution","GENERAL",""
"Filtering Quality","Filtering Quality","GENERAL",""
"Effects Quality","Effects Quality","GENERAL",""
"Antialiasing","Antialiasing","GENERAL",""
"Vertical Sync","Vertical Sync","GENERAL",""
"Shadows","Shadows","GENERAL",""
"Decals","Decals","GENERAL",""
"Glows","Glows","GENERAL",""
"Extra Particles","Extra Particles","GENERAL",""
"Displacement Mapping","Displacement Mapping","GENERAL",""
"Render Mode","Render Mode","GENERAL",""
"Volume","Volume","GENERAL",""
"Master Volume","Master Volume","GENERAL",""
"Music Volume","Music Volume","GENERAL",""
"Input","Input","GENERAL",""
"Invert Scroll Wheel","Invert Scroll Wheel","GENERAL",""
"Use Controller","Use Controller","GENERAL",""
"Performance","Performance","GENERAL",""
"Use multi-core","Use multi-core","GENERAL",""
"Pause on low FPS","Pause on low FPS","GENERAL",""
"Low FPS Threshold","Low FPS Threshold","GENERAL",""
"Max Attracting Bodies","Max Attracting Bodies","GENERAL",""
"Max Non-Attracting Bodies","Max Non-Attracting Bodies","GENERAL",""
"Max Decals","Max Decals","GENERAL",""
"Debug","Debug","GENERAL",""
"Debug Info","Debug Info","GENERAL",""
"Attractor Lines","Attractor Lines","GENERAL",""
"Impact Lines","Impact Lines","GENERAL",""
"linkMassToBodyDefault","linkMassToBodyDefault","GENERAL",""
"linkRadiusToBodyDefault","linkRadiusToBodyDefault","GENERAL",""
"linkAtmosphereDefault","linkAtmosphereDefault","GENERAL",""
"TargetFrameRate","TargetFrameRate","GENERAL",""
"Window Resolution","Window Resolution","GENERAL",""
"Reset","Reset","GENERAL",""
"Settings","Settings","GENERAL",""
"Add","Add","GENERAL",""
"Powers","Powers","GENERAL",""
"Chart","Chart","GENERAL",""
"Properties","Properties","GENERAL",""
"Each Frame","Each Frame","GENERAL",""
"On Demand","On Demand","GENERAL",""
"Graph","Graph","GENERAL",""
"Timespan","Timespan","GENERAL",""
"X Value","X Value","GENERAL",""
"X Unit","X Unit","GENERAL",""
"Y Value","Y Value","GENERAL",""
"Y Unit","Y Unit","GENERAL",""
"Advanced","Advanced","GENERAL",""
"MouseSensitivity","MouseSensitivity","GENERAL",""
"X Axis","X Axis","GENERAL",""
"Y Axis","Y Axis","GENERAL",""
"Legend","Legend","GENERAL",""
"Labels","Labels","GENERAL",""
"GridColor","GridColor","GENERAL",""
"LabelsColor","LabelsColor","GENERAL",""
"HighlightColor","HighlightColor","GENERAL",""
"Compare","Compare","GENERAL",""
"Scripting","Scripting","GENERAL",""
"Paths","Paths","GENERAL",""
"Scripts","Scripts","GENERAL",""
"Ambience","Ambience","GENERAL",""
"Presets","Presets","GENERAL",""
"Grid","Grid","GENERAL",""
"Opacity","Opacity","GENERAL",""
"3D Labels","3D Labels","GENERAL",""
